ArrivalStateNum,AlarmsArrivalNum,WarningsArrivalNum,DepartureStateNum,AlarmsDepartureNum,WarningsDepartureNum,val_byp_ep_inprmsphsab,val_byp_freq_inp,val_sys_freq_outnom,val_sys_ap_out,val_sys_ec_outrmsphsa,val_sys_ep_inpnom,val_sys_ep_inprmsphsab,val_sys_ep_outnom,val_sys_ep_outrmsphsab,val_sys_freq_inp,val_sys_freq_inpnom,val_sys_freq_out,val_sys_va_outrated,val_sys_w_outrated
0,0,0,0,0,0,213,60,60,3.9,22,208,213,240,244,60,60,60,15,14
1,1,0,0,0,0,208,60,60,4,21,208,208,208,208,60,60,60,12,11
0,1,1,0,0,0,242.8,59.95,60,1.51,6.1,240,243,240,242.1,59.95,60,59.98,15,14
0,1,1,0,0,0,205.5,59.98,60,2.04,11.1,208,205.5,208,209.4,59.98,60,59.98,15,14
0,1,1,0,0,0,205,59.98,60,5.99,28.3,208,205,208,210.4,59.98,60,59.98,12,11
0,1,1,0,0,0,217.8,59.98,60,2.72,14.2,208,217.8,208,208.6,59.98,60,59.98,12,11
0,1,1,0,0,0,205.5,60.03,60,4.14,19.4,208,205.7,208,208.8,60.03,60,60.03,15,14
0,1,1,0,0,0,204.8,59.98,60,5.12,24.4,208,205.2,208,208.6,59.98,60,60,12,11
0,0,0,0,0,0,206.4,59.98,60,3.4,17.3,208,206.6,208,209.8,59.98,60,59.98,12,11
0,1,1,0,0,0,203.9,59.98,60,4.39,21.7,208,203.7,208,205.5,59.98,60,59.98,12,11
0,1,1,0,0,0,214,59.95,60,2.9,13.5,208,214,208,209,59.98,60,59.98,15,14
0,1,1,0,0,0,207,59.95,60,4.81,23,208,208.2,240,240,59.95,60,59.95,15,14
1,1,0,1,1,0,205.5,60,60,2.28,11.3,208,205.5,208,204.7,60,60,60,12,11
0,0,0,0,0,0,205.7,59.98,60,2.79,13.2,208,205.9,208,204.9,59.98,60,59.98,12,11
0,1,1,0,0,0,194,59.95,60,2.64,12.6,208,193.8,208,207.5,59.95,60,59.95,12,11
0,1,1,0,0,0,220.1,59.98,60,4.18,16.9,240,220.1,240,241.4,59.95,60,59.95,15,14
0,1,1,0,0,0,205.2,59.95,60,4.42,20.8,208,205.2,208,208.8,59.95,60,59.95,12,11
0,1,1,0,0,0,211.8,59.98,60,3.57,16.9,208,211.8,208,207.5,59.98,60,60,8,8
0,1,1,0,0,0,241,59.98,60,2.63,9.5,240,240.7,240,239.7,59.98,60,59.98,20,20
0,1,1,0,0,0,209.1,59.98,60,2.3,10.8,208,209.1,208,209,59.98,60,60,15,13
0,1,1,0,0,0,202.1,59.98,60,2.36,11.1,208,202.1,208,208.2,60,60,60,12,12
0,1,1,0,0,0,242.5,60,60,1.44,5.4,240,242.3,240,241.4,60,60,60,10,9
0,0,0,0,0,0,204,60,60,3.81,18.3,208,204.1,208,209.2,60,60,60,8,7
0,1,1,0,0,0,207.7,59.95,60,2.39,11.2,208,207,208,208.2,59.95,60,59.95,8,7
